ticker,fiscal_year,accession,drift_score,n_new,n_modified,n_removed,n_total_risks,removal_rate,new_rate,modified_rate,theme_supply_chain,theme_supply_chain_count,theme_cybersecurity,theme_cybersecurity_count,theme_regulatory,theme_regulatory_count,theme_litigation,theme_litigation_count,theme_macro,theme_macro_count,theme_talent,theme_talent_count,theme_climate,theme_climate_count,theme_concentration,theme_concentration_count,theme_liquidity,theme_liquidity_count,theme_ai_technology,theme_ai_technology_count,cash_and_equivalents,eps_basic,eps_diluted,net_income,operating_cash_flow,operating_income,revenue,rnd_expense,stockholders_equity,total_assets,total_liabilities,net_margin,operating_margin,leverage,roe,asset_turnover,cash_ratio,rnd_intensity,filing_date,period_of_report,reporting_lag_days,fwd_return,market_return,excess_return
BA,2021,0000012927-22-000010,0.2069,0,12,9,58,0.15517241379310345,0.0,0.20689655172413793,0.8333333333333334,10,0.08333333333333333,1,0.5833333333333334,7,0.0,0,0.08333333333333333,1,0.16666666666666666,2,0.25,3,0.08333333333333333,1,0.08333333333333333,1,0.0,0,8052000000.0,-7.15,-7.15,-4202000000.0,-3416000000.0,-2902000000.0,62286000000.0,2249000000.0,-14999000000.0,138552000000.0,153398000000.0,-0.06746299328902161,-0.04659152939665415,1.1071511057220393,0.2801520101340089,0.4495496275766499,0.05811536462844275,0.03610763253379572,2022-01-31,2021-12-31,31,-0.25669200831613126,-0.08141652722752453,-0.17527548108860674
BA,2022,0000012927-23-000007,0.3542,0,17,18,48,0.375,0.0,0.3541666666666667,0.5882352941176471,10,0.17647058823529413,3,0.5882352941176471,10,0.0,0,0.17647058823529413,3,0.23529411764705882,4,0.17647058823529413,3,0.0,0,0.058823529411764705,1,0.0,0,14614000000.0,-8.3,-8.3,-4935000000.0,3512000000.0,-3547000000.0,66608000000.0,2852000000.0,-15883000000.0,137100000000.0,152948000000.0,-0.0740901993754504,-0.05325186163824165,1.1155944566010212,0.31070956368444247,0.4858351568198395,0.10659372720641867,0.04281767955801105,2023-01-27,2022-12-31,27,-0.024293246802551325,0.020469105834906725,-0.04476235263745805
BA,2023,0000012927-24-000010,0.2041,0,10,7,49,0.14285714285714285,0.0,0.20408163265306123,0.7,7,0.2,2,0.2,2,0.0,0,0.3,3,0.4,4,0.0,0,0.1,1,0.0,0,0.1,1,12691000000.0,-3.67,-3.67,-2222000000.0,5960000000.0,-773000000.0,77794000000.0,3377000000.0,-17233000000.0,137012000000.0,154240000000.0,-0.028562614083348332,-0.009936498958788596,1.1257408110238518,0.12893866419079672,0.5677896826555339,0.0926269231892097,0.04340951744350464,2024-01-31,2023-12-31,31,-0.20470052275670161,0.04278427481021392,-0.24748479756691555
BA,2024,0000012927-25-000015,0.4364,6,18,7,55,0.12727272727272726,0.10909090909090909,0.32727272727272727,0.4166666666666667,10,0.16666666666666666,4,0.3333333333333333,8,0.0,0,0.08333333333333333,2,0.125,3,0.08333333333333333,2,0.0,0,0.16666666666666666,4,0.041666666666666664,1,13801000000.0,-18.36,-18.36,-11817000000.0,-12080000000.0,-10707000000.0,66517000000.0,3812000000.0,-3908000000.0,156363000000.0,160277000000.0,-0.17765383285475894,-0.16096636949952645,1.0250314972212096,3.023797338792221,0.4254011498884007,0.08826256851045323,0.05730865793706872,2025-02-03,2024-12-31,34,0.05452898085480455,-0.0490242099453963,0.10355319080020085
BAC,2019,0000070858-20-000011,0.4409,1,40,18,93,0.1935483870967742,0.010752688172043012,0.43010752688172044,0.07317073170731707,3,0.12195121951219512,5,0.6097560975609756,25,0.14634146341463414,6,0.2682926829268293,11,0.024390243902439025,1,0.0,0,0.04878048780487805,2,0.2926829268292683,12,0.04878048780487805,2,161560000000.0,2.77,2.75,27430000000.0,61777000000.0,,91244000000.0,,264810000000.0,2434079000000.0,2169269000000.0,0.3006225066853711,,0.8912073108555638,0.10358370152184586,0.037486047083927845,0.06637418095304219,,2020-02-19,2019-12-31,50,-0.3562294182340942,-0.13197705784540387,-0.22425236038869034
BAC,2020,0000070858-21-000023,0.5714,1,59,21,105,0.2,0.009523809523809525,0.5619047619047619,0.05,3,0.15,9,0.6333333333333333,38,0.21666666666666667,13,0.31666666666666665,19,0.016666666666666666,1,0.1,6,0.06666666666666667,4,0.31666666666666665,19,0.016666666666666666,1,,1.88,1.87,17894000000.0,37993000000.0,,85528000000.0,,272924000000.0,2819627000000.0,2546703000000.0,0.20921803386025628,,0.903205636773942,0.06556403980595331,0.030333090156960476,,,2021-02-24,2020-12-31,55,0.1604904664253489,0.07106164239911975,0.08942882402622915
BAC,2021,0000070858-22-000062,0.4273,0,47,24,110,0.21818181818181817,0.0,0.42727272727272725,0.1276595744680851,6,0.19148936170212766,9,0.6595744680851063,31,0.19148936170212766,9,0.23404255319148937,11,0.1276595744680851,6,0.06382978723404255,3,0.06382978723404255,3,0.3191489361702128,15,0.02127659574468085,1,,3.6,3.57,31978000000.0,-7193000000.0,,89113000000.0,,270066000000.0,3169495000000.0,2899429000000.0,0.35884775509746053,,0.9147921041049126,0.11840809283656588,0.028115835487987833,,,2022-02-22,2021-12-31,53,-0.2088370121812439,-0.07313584382610223,-0.13570116835514168
BAC,2022,0000070858-23-000092,0.51,0,51,32,100,0.32,0.0,0.51,0.13725490196078433,7,0.13725490196078433,7,0.5686274509803921,29,0.13725490196078433,7,0.37254901960784315,19,0.0784313725490196,4,0.09803921568627451,5,0.058823529411764705,3,0.1568627450980392,8,0.0392156862745098,2,,3.21,3.19,27528000000.0,-6327000000.0,,94950000000.0,,273197000000.0,3051375000000.0,2778178000000.0,0.2899210110584518,,0.9104675760927451,0.10076245346764423,0.031117119331448936,,,2023-02-22,2022-12-31,53,-0.16111509394191664,0.042982989952310174,-0.20409808389422682
CAT,2019,0000018230-20-000056,0.1111,0,6,9,54,0.16666666666666666,0.0,0.1111111111111111,0.5,3,0.5,3,0.3333333333333333,2,0.3333333333333333,2,0.16666666666666666,1,0.0,0,0.16666666666666666,1,0.0,0,0.3333333333333333,2,0.0,0,,10.85,10.74,6094000000.0,6912000000.0,8290000000.0,53800000000.0,1693000000.0,14629000000.0,78453000000.0,63824000000.0,0.11327137546468402,0.154089219330855,0.8135316686423719,0.416569827055848,0.6857609014314303,,0.031468401486988845,2020-02-19,2019-12-31,50,-0.1735421004273259,-0.13197705784540387,-0.041565042581922035
CAT,2020,0000018230-21-000063,0.2456,0,14,6,57,0.10526315789473684,0.0,0.24561403508771928,0.2857142857142857,4,0.0,0,0.21428571428571427,3,0.07142857142857142,1,0.7857142857142857,11,0.14285714285714285,2,0.07142857142857142,1,0.0,0,0.5714285714285714,8,0.0,0,,5.51,5.46,3003000000.0,6327000000.0,4553000000.0,41748000000.0,1415000000.0,15378000000.0,78324000000.0,62946000000.0,0.07193158953722334,0.10905911660438823,0.8036617128849395,0.19527896995708155,0.5330166998621112,,0.033893839225831175,2021-02-17,2020-12-31,48,0.18908791331124086,0.05326115443629927,0.13582675887494158
